transaction_id,date,customer_id,product_name,category,quantity,unit_price,total_amount,region,payment_method,shipping_cost
T1000,2022-01-01,C2003,Bluetooth Speaker,Electronics,2,62.87,125.75,South,Debit Card,9.99
T1001,2022-01-01,C4654,Yoga Mat,Sports,1,29.99,29.99,Central,Credit Card,9.99
T1002,2022-01-01,C1952,Desk Lamp,Home,1,30.74,30.74,Central,Credit Card,9.99
T1003,2022-01-01,C3872,Running Shoes,Sports,1,119.99,119.99,Central,Gift Card,0.0
T1004,2022-01-01,C4315,Phone Case,Electronics,1,19.99,19.99,North,Debit Card,9.99
T1005,2022-01-01,C1636,Desk Lamp,Home,2,39.99,79.98,South,PayPal,0.0
T1006,2022-01-01,C2470,Yoga Mat,Sports,1,29.99,29.99,East,PayPal,0.0
T1007,2022-01-01,C1511,Kitchen Knife Set,Home,2,99.99,199.98,West,Credit Card,9.99
T1008,2022-01-01,C3533,Laptop Stand,Electronics,1,49.99,49.99,East,Debit Card,9.99
T1009,2022-01-01,C2185,Yoga Mat,Sports,3,23.86,71.58,North,Debit Card,0.0
T1010,2022-01-01,C3603,Desk Lamp,Home,2,39.99,79.98,East,Debit Card,4.99
T1011,2022-01-01,C2093,Water Bottle,Sports,1,24.99,24.99,North,Debit Card,9.99
T1012,2022-01-01,C2893,Kitchen Knife Set,Home,1,99.99,99.99,West,PayPal,9.99
T1013,2022-01-01,C3804,Kitchen Knife Set,Home,1,99.99,99.99,East,Credit Card,0.0
T1014,2022-01-01,C2643,Wireless Earbuds,Electronics,1,79.99,79.99,East,Credit Card,0.0
T1015,2022-01-01,C2288,Backpack,Office,1,59.99,59.99,South,Gift Card,4.99
T1016,2022-01-01,C2084,Bluetooth Speaker,Electronics,1,69.99,69.99,South,Debit Card,9.99
T1017,2022-01-01,C4059,Notebook Set,Office,1,14.99,14.99,Central,Gift Card,9.99
T1018,2022-01-01,C1566,Desk Lamp,Home,1,39.99,39.99,Central,Gift Card,0.0
T1019,2022-01-01,C1626,Wireless Earbuds,Electronics,1,79.99,79.99,South,Gift Card,9.99
T1020,2022-01-01,C3440,Yoga Mat,Sports,1,29.99,29.99,West,PayPal,9.99
T1021,2022-01-01,C1469,Wireless Earbuds,Electronics,1,79.99,79.99,Central,PayPal,9.99
T1022,2022-01-01,C2858,Water Bottle,Sports,1,20.92,20.92,North,PayPal,9.99
T1023,2022-01-01,C1435,Coffee Maker,Home,2,89.99,179.98,East,Debit Card,0.0
T1024,2022-01-01,C3209,Water Bottle,Sports,1,24.99,24.99,Central,Credit Card,9.99
T1025,2022-01-01,C1458,Water Bottle,Sports,1,24.99,24.99,East,PayPal,0.0
T1026,2022-01-01,C3323,Wireless Earbuds,Electronics,1,79.99,79.99,North,Credit Card,9.99
T1027,2022-01-01,C4115,Phone Case,Electronics,1,19.99,19.99,Central,Debit Card,0.0
T1028,2022-01-01,C3251,Bluetooth Speaker,Electronics,1,69.99,69.99,South,PayPal,9.99
T1029,2022-01-01,C1867,Backpack,Office,1,59.99,59.99,Central,Debit Card,9.99
T1030,2022-01-01,C3751,Laptop Stand,Electronics,1,49.99,49.99,East,Gift Card,9.99
T1031,2022-01-01,C2384,Phone Case,Electronics,2,15.89,31.78,North,Debit Card,9.99
T1032,2022-01-01,C1241,Running Shoes,Sports,3,106.98,320.94,South,Credit Card,0.0
T1033,2022-01-01,C3740,Water Bottle,Sports,2,19.93,39.86,West,Debit Card,9.99
T1034,2022-01-01,C4614,Coffee Maker,Home,1,89.99,89.99,Central,Gift Card,0.0
T1035,2022-01-01,C1779,Phone Case,Electronics,1,19.99,19.99,North,,9.99
T1036,2022-01-01,C2683,Desk Lamp,Home,1,39.99,39.99,West,Credit Card,9.99
T1037,2022-01-01,C1403,Bluetooth Speaker,Electronics,1,69.99,69.99,North,Gift Card,9.99
T1038,2022-01-01,C1447,Water Bottle,Sports,1,24.99,24.99,South,Debit Card,0.0
T1039,2022-01-01,C2728,Notebook Set,Office,1,14.99,14.99,South,PayPal,4.99
T1040,2022-01-01,C1308,Running Shoes,Sports,1,119.99,119.99,West,Credit Card,0.0
T1041,2022-01-01,C4424,Bluetooth Speaker,Electronics,2,69.99,139.98,North,Credit Card,0.0
T1042,2022-01-01,C2971,Coffee Maker,Home,1,89.99,89.99,South,Gift Card,0.0
T1043,2022-01-01,C2599,Coffee Maker,Home,1,89.99,89.99,East,Gift Card,4.99
T1044,2022-01-01,C3992,Desk Lamp,Home,1,39.99,39.99,Central,Gift Card,0.0
T1045,2022-01-01,C4967,Running Shoes,Sports,1,119.99,119.99,North,Credit Card,9.99
T1046,2022-01-01,C3059,Water Bottle,Sports,1,21.66,21.66,Central,Debit Card,0.0
T1047,2022-01-01,C3437,Notebook Set,Office,1,11.8,11.8,North,Debit Card,4.99
T1048,2022-01-01,C3333,Yoga Mat,Sports,3,29.99,89.97,South,Credit Card,9.99
T1049,2022-01-01,C3390,Yoga Mat,Sports,2,29.99,59.98,Central,PayPal,4.99
T1050,2022-01-01,C2286,Running Shoes,Sports,2,119.99,239.98,South,PayPal,4.99
T1051,2022-01-01,C2228,Coffee Maker,Home,2,89.99,179.98,West,PayPal,0.0
T1052,2022-01-01,C3306,Wireless Earbuds,Electronics,1,79.99,79.99,North,Credit Card,9.99
T1053,2022-01-01,C1542,Running Shoes,Sports,2,119.99,239.98,East,Credit Card,0.0
T1054,2022-01-01,C2794,Water Bottle,Sports,1,24.99,24.99,Central,PayPal,9.99
T1055,2022-01-01,C3735,Bluetooth Speaker,Electronics,1,69.99,69.99,Central,PayPal,9.99
T1056,2022-01-01,C1550,Yoga Mat,Sports,1,29.99,29.99,East,Credit Card,0.0
T1057,2022-01-01,C2115,Kitchen Knife Set,Home,1,99.99,99.99,East,Debit Card,9.99
T1058,2022-01-01,C3597,Water Bottle,Sports,1,24.99,24.99,East,Gift Card,4.99
T1059,2022-01-01,C2133,Wireless Earbuds,Electronics,1,66.77,66.77,North,Credit Card,4.99
T1060,2022-01-01,C2072,Coffee Maker,Home,2,89.99,179.98,South,Gift Card,9.99
T1061,2022-01-01,C1039,Kitchen Knife Set,Home,1,99.99,99.99,North,Credit Card,9.99
T1062,2022-01-02,C4418,Coffee Maker,Home,1,89.99,89.99,East,Debit Card,4.99
T1063,2022-01-02,C4821,Coffee Maker,Home,2,74.06,148.11,North,PayPal,0.0
T1064,2022-01-02,C1421,Bluetooth Speaker,Electronics,1,69.99,69.99,East,Gift Card,9.99
